pathname,basename,parsed
C:\Users\jungl\Downloads\Double Jeopardy,Double Jeopardy,Double Jeopardy
C:\Users\jungl\Downloads\atomic blonde,atomic blonde,atomic blonde
C:\Users\jungl\Downloads\The Wiz,The Wiz,The Wiz
C:\Users\jungl\Downloads\The Alamo ,The Alamo ,The Alamo
C:\Users\jungl\Downloads\Bubble Boy,Bubble Boy,Bubble Boy
C:\Users\jungl\Downloads\Vegas Vacation,Vegas Vacation,Vegas Vacation
C:\Users\jungl\Downloads\The Fifth Element,The Fifth Element,The Fifth Element
C:\Users\jungl\Downloads\A Prairie Home Companion,A Prairie Home Companion,A Prairie Home Companion
C:\Users\jungl\Downloads\Yes.Chef.Christmas.2023,Yes.Chef.Christmas.2023,Yes Chef Christmas (2023)
C:\Users\jungl\Downloads\Ratatouille (2007),Ratatouille (2007),Ratatouille (2007)
C:\Users\jungl\Downloads\Antz.1998,Antz.1998,Antz (1998)
C:\Users\jungl\Downloads\Cats (musical) 1998,Cats (musical) 1998,Cats (musical) (1998)
C:\Users\jungl\Downloads\Jason Bourne Trilogy (2002-2007) ,Jason Bourne Trilogy (2002-2007) ,Jason Bourne Trilogy (2002)
C:\Users\jungl\Downloads\Aces High (1976),Aces High (1976),Aces High (1976)
C:\Users\jungl\Downloads\Victor Borge Classic Collection,Victor Borge Classic Collection,Victor Borge Classic Collection
C:\Users\jungl\Downloads\Inspector Gadget 1983,Inspector Gadget 1983,Inspector Gadget (1983)
C:\Users\jungl\Downloads\Disney,Disney,Disney
C:\Users\jungl\Downloads\Roald Dahls Matilda The Musical (2022),Roald Dahls Matilda The Musical (2022),Roald Dahls Matilda The Musical (2022)
C:\Users\jungl\Downloads\Cats.2019,Cats.2019,Cats (2019)
C:\Users\jungl\Downloads\Carrie (2013),Carrie (2013),Carrie (2013)
C:\Users\jungl\Downloads\The Rage Carrie 2 (1999) [1080p],The Rage Carrie 2 (1999) [1080p],The Rage Carrie 2 (1999)
C:\Users\jungl\Downloads\Super Mario Bros. (1993) [1080p],Super Mario Bros. (1993) [1080p],Super Mario Bros (1993)
C:\Users\jungl\Downloads\Pink Floyd The Wall - Drama Musical Eng Subs 1080p [H264-mp4],Pink Floyd The Wall - Drama Musical Eng Subs 1080p [H264-mp4],Pink Floyd The Wall Drama Musical Eng Subs
C:\Users\jungl\Downloads\Inspector.Gadget.1999.1080p.DSNP.WEB-DL.DDP.5.1.H.264-PiRaTeS[TGx],Inspector.Gadget.1999.1080p.DSNP.WEB-DL.DDP.5.1.H.264-PiRaTeS[TGx],Inspector Gadget 5 1 H (1999)
C:\Users\jungl\Downloads\Jungle Cruise (2021) [1080p] [WEBRip] [5.1] [YTS.MX],Jungle Cruise (2021) [1080p] [WEBRip] [5.1] [YTS.MX],Jungle Cruise (2021)
C:\Users\jungl\Downloads\Mars Needs Moms (2011),Mars Needs Moms (2011),Mars Needs Moms (2011)
C:\Users\jungl\Downloads\Carrie (1976) [1080p],Carrie (1976) [1080p],Carrie (1976)
C:\Users\jungl\Downloads\www.Torrenting.com   -    The Marvels (2023) 720p WEBRip-LAMA,www.Torrenting.com   -    The Marvels (2023) 720p WEBRip-LAMA,The Marvels (2023)
C:\Users\jungl\Downloads\The.Curse.2023.S01E01.720p.WEB.x265-MiNX[TGx],The.Curse.2023.S01E01.720p.WEB.x265-MiNX[TGx],The Curse S01E01 (2023)
C:\Users\jungl\Downloads\Osmosis.Jones.2001.720p.WEB-DL.H264-HDCLUB [PublicHD],Osmosis.Jones.2001.720p.WEB-DL.H264-HDCLUB [PublicHD],Osmosis Jones (2001)
C:\Users\jungl\Downloads\Funny.Games.2007.iNTERNAL.BDRip.x264-MARS[rarbg],Funny.Games.2007.iNTERNAL.BDRip.x264-MARS[rarbg],Funny Games MARS (2007)
C:\Users\jungl\Downloads\What If... (2021) Season 1 S01 (1080p WEB-DL x265 HEVC 10bit EAC3 5.1 Silence) REPACK,What If... (2021) Season 1 S01 (1080p WEB-DL x265 HEVC 10bit EAC3 5.1 Silence) REPACK,What If Season 1 S01 ( 10bit E 5 1 Silence) REPACK (2021)
C:\Users\jungl\Downloads\The.Curse.2023.S01E03.720p.WEB.H264-DiMEPiECE[TGx],The.Curse.2023.S01E03.720p.WEB.H264-DiMEPiECE[TGx],The Curse S01E03 (2023)
C:\Users\jungl\Downloads\The Abyss [1989] =Uncut Special Edition=,The Abyss [1989] =Uncut Special Edition=,The Abyss [] =Uncut Special Edition= (1989)
C:\Users\jungl\Downloads\Speed (1994),Speed (1994),Speed (1994)
